id;gender;age;height;education
1915;F;73;1.68;High School
1916;F;70;1.71;PhD
1917;M;67;1.63;Master's
1918;F;18;1.61;Elementary
1919;F;55;1.75;Elementary
1920;M;22;1.84;Bachelor's
1921;M;69;1.7;PhD
1922;F;50;1.6;None
1923;M;26;1.99;PhD
1924;F;19;1.55;Elementary
1925;F;44;1.54;None
1926;M;32;1.82;High School
1927;F;25;1.92;Master's
1928;M;39;1.78;Elementary
1929;F;36;1.48;None
1930;M;56;1.53;Master's
1931;F;49;1.84;Master's
1932;M;45;1.58;Elementary
1933;F;66;1.63;Master's
1934;F;55;1.64;PhD
1935;M;74;1.87;None
1936;M;70;1.74;Elementary
1937;F;74;1.88;None
1938;M;72;1.58;Master's
1939;M;54;1.77;High School
1940;F;76;1.66;PhD
1941;M;66;1.81;PhD
1942;F;19;2;None
1943;F;31;2;None
1944;F;37;1.82;Bachelor's
1945;F;28;1.57;Elementary
1946;F;52;1.89;Master's
1947;F;71;1.97;High School
1948;F;31;1.61;PhD
1949;F;36;1.79;Elementary
1950;M;52;1.58;Bachelor's
1951;F;20;1.83;Bachelor's
1952;M;21;1.74;None
1953;F;61;1.5;Elementary
1954;M;31;1.85;Bachelor's
1955;M;19;1.78;Elementary
1956;F;60;1.73;Bachelor's
1957;F;45;1.53;None
1958;F;70;1.65;PhD
1959;F;53;1.5;Elementary
1960;M;39;1.71;Bachelor's
1961;M;24;1.92;None
1962;M;22;1.91;Master's
1963;F;20;1.9;Elementary
1964;M;47;2.01;Bachelor's
1965;M;66;1.79;High School
1966;F;33;1.86;Bachelor's
1967;F;74;1.6;High School
1968;F;33;1.86;Master's
1969;M;36;1.65;Master's
1970;F;43;1.6;None
1971;M;45;1.75;High School
1972;M;36;1.99;Master's
1973;F;22;1.81;PhD
1974;M;18;1.99;Master's
1975;F;31;1.48;Bachelor's
1976;M;38;1.51;High School
1977;F;26;1.5;None
1978;M;55;1.96;High School
1979;F;69;1.93;PhD
1980;M;76;1.64;Elementary
1981;M;53;1.91;High School
1982;M;74;1.82;None
1983;F;38;1.61;None
1984;M;22;1.96;Master's
1985;M;59;1.81;High School
1986;M;26;1.57;High School
1987;M;36;1.71;PhD
1988;M;25;1.8;PhD
1989;M;41;1.65;Master's
1990;M;59;1.69;Bachelor's
1991;M;22;1.98;Master's
1992;F;54;1.49;High School
1993;F;69;1.64;PhD
1994;F;57;1.72;None
1995;F;68;1.62;Bachelor's
1996;F;29;1.75;Master's
1997;F;51;1.46;None
1998;M;64;1.56;Master's
1999;M;62;1.58;Master's
2000;F;58;1.84;Bachelor's
2001;M;67;1.54;Bachelor's
2002;M;37;1.86;PhD
2003;F;49;1.77;High School
2004;F;61;1.91;Elementary
2005;M;38;1.56;Master's
2006;F;42;1.6;None
2007;M;30;1.94;Elementary
2008;F;69;1.63;High School
2009;F;31;1.9;Bachelor's
2010;M;35;1.82;Master's
2011;F;38;1.97;High School
2012;M;31;1.57;Elementary
2013;F;73;1.47;Bachelor's
2014;M;25;1.99;PhD
2015;M;67;1.86;Bachelor's
2016;F;70;1.68;Bachelor's
2017;M;34;2;Bachelor's
2018;F;68;1.64;Bachelor's
2019;F;33;1.87;Elementary
2020;M;25;1.88;Elementary
2021;F;70;2;Master's
2022;F;59;1.69;Elementary
2023;M;57;1.95;PhD
2024;M;20;1.46;Elementary
2025;M;74;1.75;None
2026;F;23;1.48;PhD
2027;F;43;1.68;Bachelor's
2028;M;44;1.9;Master's
2029;F;58;1.87;Master's
2030;F;76;1.89;Elementary
2031;M;31;1.73;Elementary
2032;M;67;1.7;None
2033;M;72;1.87;None
2034;F;44;1.59;PhD
2035;F;58;1.85;Elementary
2036;M;26;1.63;None
2037;M;52;1.53;PhD
2038;F;31;1.82;High School
2039;M;64;1.67;Elementary
2040;F;34;1.74;None
2041;M;40;1.52;High School
2042;M;66;1.67;PhD
2043;M;33;1.7;High School
2044;F;63;1.53;Elementary
2045;M;40;1.76;Bachelor's
2046;M;52;1.85;Elementary
2047;M;23;1.92;PhD
2048;M;23;1.76;None
2049;F;55;1.73;Master's
2050;F;59;1.85;Master's
2051;M;25;1.49;None
2052;F;62;1.6;None
2053;M;36;1.92;PhD
2054;M;19;1.59;Master's
2055;M;26;1.77;High School
2056;M;65;1.89;Bachelor's
2057;M;65;1.72;Master's
2058;M;46;1.55;Elementary
2059;M;34;1.53;Bachelor's
2060;F;29;1.51;High School
2061;M;29;1.57;PhD
2062;M;34;1.78;Bachelor's
2063;M;56;1.8;PhD
2064;F;76;1.5;Master's
2065;F;62;1.48;Master's
2066;M;50;1.46;Elementary
2067;F;18;1.99;High School
2068;F;63;1.58;PhD
2069;M;71;2;High School
2070;M;31;2;Bachelor's
2071;M;34;1.59;None
2072;F;28;1.77;Master's
2073;F;72;1.46;PhD
2074;F;68;1.59;Master's
2075;M;75;1.78;Elementary
2076;F;20;1.87;Master's
2077;F;42;1.47;Bachelor's
2078;M;65;1.99;Master's
2079;M;25;1.81;Bachelor's
2080;F;36;1.65;None
2081;F;71;1.84;Bachelor's
2082;F;67;1.67;Master's
2083;F;65;1.96;High School
2084;M;23;1.72;None
2085;F;50;1.78;PhD
2086;M;18;1.8;High School
2087;F;26;1.88;PhD
2088;M;50;1.72;PhD
2089;M;47;1.8;PhD
2090;M;24;1.96;PhD
2091;M;26;1.71;Master's
2092;M;65;1.88;Elementary
2093;M;71;1.64;Elementary
2094;F;49;1.83;Master's
2095;M;29;1.66;None
2096;M;28;1.92;High School
2097;F;52;1.97;Elementary
2098;F;49;1.61;None
2099;M;25;1.89;Bachelor's
2100;M;28;1.6;None
2101;M;28;1.66;None
2102;M;67;1.71;High School
2103;F;56;1.57;Master's
2104;M;57;1.82;High School
2105;F;23;1.69;PhD
2106;M;58;1.98;Bachelor's
2107;F;55;1.56;Bachelor's
2108;F;44;1.78;Bachelor's
2109;F;41;1.53;None
2110;F;46;1.55;High School
2111;F;31;1.66;Master's
2112;M;56;1.67;None
2113;M;74;1.95;PhD
2114;M;62;1.8;Bachelor's
2115;M;46;1.59;Bachelor's
2116;F;53;1.89;Bachelor's
2117;F;33;1.98;High School
2118;F;65;1.55;Bachelor's
2119;M;29;1.66;Master's
2120;M;27;1.55;Elementary
2121;M;67;1.57;Master's
2122;F;61;1.68;Master's
2123;M;43;1.99;None
2124;M;71;1.84;High School
2125;M;52;1.96;Master's
2126;F;46;1.49;Bachelor's
2127;F;66;1.56;Bachelor's
2128;F;48;1.58;Master's
2129;M;69;1.77;Bachelor's
2130;F;22;2.01;None
2131;F;46;1.55;None
2132;F;45;1.64;Master's
2133;F;75;1.64;Elementary
2134;M;21;1.63;Elementary
2135;M;68;1.46;High School
2136;M;37;1.74;High School
2137;M;75;1.96;Elementary
2138;F;24;1.81;Elementary
2139;F;64;1.59;Bachelor's
2140;M;45;1.97;None
2141;M;56;1.94;Bachelor's
2142;F;23;1.87;PhD
2143;F;61;1.61;Bachelor's
2144;M;50;1.99;Bachelor's
2145;M;38;1.69;Elementary
2146;M;66;1.77;Master's
2147;F;75;1.89;None
2148;F;25;1.98;High School
2149;M;73;1.95;Master's
2150;M;57;1.9;Master's
2151;M;37;1.95;PhD
2152;M;65;1.93;Bachelor's
2153;M;76;1.82;PhD
2154;F;20;1.84;High School
2155;M;28;1.66;Master's
2156;F;30;1.56;None
2157;M;21;1.85;Master's
2158;F;21;1.85;None
2159;F;51;1.94;Bachelor's
2160;F;54;1.49;None
2161;M;58;1.51;Elementary
2162;M;35;1.82;PhD
2163;F;71;1.65;Elementary
2164;F;73;1.59;None
2165;F;74;1.53;High School
2166;F;34;1.54;Master's
2167;F;52;1.91;Elementary
2168;M;40;2;Bachelor's
2169;M;20;1.83;Bachelor's
2170;M;64;1.57;None
2171;M;57;1.9;PhD
2172;F;51;1.6;PhD
2173;F;31;1.55;Bachelor's
2174;F;46;1.75;PhD
2175;F;71;1.77;None
2176;M;48;1.77;Elementary
2177;M;33;1.66;Bachelor's
2178;M;54;1.89;High School
2179;F;66;1.77;Master's
2180;F;23;1.73;High School
2181;M;50;1.55;High School
2182;M;31;1.48;Master's
2183;M;20;1.48;None
2184;M;70;1.59;Master's
2185;F;24;1.63;Bachelor's
2186;F;63;1.59;PhD
2187;F;43;1.57;High School
2188;F;61;1.96;Bachelor's
2189;F;71;1.48;PhD
2190;M;33;1.97;PhD
2191;F;39;1.88;Bachelor's
2192;M;69;1.79;PhD
2193;M;74;1.91;Master's
2194;F;60;1.79;Master's
2195;F;62;1.78;PhD
2196;F;61;2.01;PhD
2197;M;54;1.8;Bachelor's
2198;F;28;1.86;High School
2199;F;39;1.64;PhD
2200;M;58;1.77;Elementary
2201;M;33;1.77;PhD
2202;M;59;1.51;None
2203;M;18;1.73;PhD
2204;F;36;1.84;Bachelor's
2205;M;49;1.65;Bachelor's
2206;M;50;1.73;PhD
2207;F;73;1.6;None
2208;M;45;1.62;Elementary
2209;M;76;1.62;High School
2210;F;73;1.74;Master's
2211;M;62;1.72;Master's
2212;M;55;1.93;High School
2213;F;68;1.86;Bachelor's
2214;F;75;1.75;Master's
2215;M;70;1.67;PhD
2216;M;39;1.71;Master's
2217;F;24;1.87;Bachelor's
2218;M;57;1.76;High School
2219;F;19;2.01;None
2220;F;47;1.7;Elementary
2221;M;28;1.96;Bachelor's
2222;F;40;1.51;None
2223;F;22;1.68;Elementary
2224;F;39;1.89;None
2225;M;54;1.95;None
2226;M;52;1.54;None
2227;F;23;1.55;High School
2228;F;42;1.65;None
2229;M;34;1.73;PhD
2230;M;44;1.6;Master's
2231;F;21;1.48;Bachelor's
2232;F;35;1.89;High School
2233;M;55;1.71;None
2234;F;31;1.66;Elementary
2235;F;70;1.73;Master's
2236;F;19;1.62;Master's
2237;M;27;1.88;PhD
2238;M;66;1.64;High School
2239;F;67;1.93;PhD
2240;M;18;1.88;Elementary
2241;M;35;1.93;Master's
2242;M;51;1.6;None
2243;F;65;1.92;Bachelor's
2244;F;20;1.86;None
2245;M;32;2;High School
2246;F;56;1.51;Master's
2247;F;35;1.88;Master's
2248;F;75;1.66;None
2249;F;45;1.86;None
2250;F;54;1.96;Master's
2251;M;18;1.89;Master's
2252;F;59;1.79;None
2253;F;69;1.96;High School
2254;M;45;1.56;Elementary
2255;M;29;1.79;None
2256;M;73;1.76;Bachelor's
2257;M;40;1.91;Bachelor's
2258;F;36;1.65;None
2259;F;57;1.63;None
2260;M;73;1.96;Master's
2261;F;35;1.51;None
2262;M;36;1.7;PhD
2263;F;56;1.48;PhD
2264;M;62;1.72;Bachelor's
2265;F;58;1.56;Master's
2266;M;36;1.93;None
2267;M;68;1.99;Bachelor's
2268;F;55;1.99;PhD
2269;M;33;1.52;Elementary
2270;F;28;1.65;Bachelor's
2271;F;52;1.57;High School
2272;M;32;1.99;High School
2273;F;75;1.74;None
2274;M;65;1.74;High School
2275;F;27;1.47;High School
2276;F;49;1.49;Master's
2277;M;53;1.79;Elementary
2278;M;63;1.55;PhD
2279;F;33;1.79;Bachelor's
2280;M;20;1.8;High School
2281;M;29;1.78;High School
2282;M;30;1.73;Elementary
2283;M;64;1.46;Bachelor's
2284;M;55;1.71;None
2285;M;67;1.82;PhD
2286;M;68;1.53;Bachelor's
2287;F;21;1.84;Elementary
2288;M;21;1.62;PhD
2289;M;25;1.6;None
2290;F;44;1.53;Elementary
2291;M;50;1.84;None
2292;M;64;1.81;Master's
2293;M;45;1.87;High School
2294;M;49;1.65;None
2295;F;42;1.99;High School
2296;F;74;1.52;Bachelor's
2297;M;22;2.01;Elementary
2298;M;56;1.59;Elementary
2299;F;56;1.71;Master's
2300;F;48;1.96;High School
2301;M;61;1.71;None
2302;M;41;1.56;PhD
2303;F;58;1.74;Bachelor's
2304;M;26;1.65;PhD
2305;M;69;1.58;High School
2306;M;73;1.98;Elementary
2307;F;58;1.71;None
2308;M;74;1.84;Elementary
2309;M;23;1.66;Master's
2310;M;44;1.64;PhD
2311;F;53;2;PhD
2312;M;31;1.59;High School
2313;F;36;2;None
2314;M;21;1.88;Elementary
2315;F;75;1.81;PhD
2316;M;72;1.75;Master's
2317;F;26;1.75;None
2318;M;20;1.96;None
2319;M;59;1.82;Bachelor's
2320;M;43;1.51;High School
2321;M;33;1.97;Master's
2322;M;26;1.56;Bachelor's
2323;M;51;1.79;Elementary
2324;F;22;1.94;None
2325;F;22;1.59;High School
2326;M;47;1.79;Master's
2327;M;54;1.52;Master's
2328;M;57;1.55;Master's
2329;F;64;1.87;Master's
2330;M;68;1.96;Bachelor's
2331;F;19;1.62;None
2332;M;50;2;Bachelor's
2333;F;72;1.62;PhD
2334;F;73;1.96;Bachelor's
2335;F;33;1.63;Master's
2336;M;64;1.62;Elementary
2337;F;68;1.54;High School
2338;F;36;1.58;Bachelor's
2339;M;18;1.87;Elementary
2340;F;54;1.63;None
2341;F;27;1.95;Master's
2342;F;49;1.5;None
2343;F;70;1.84;High School
2344;F;38;1.65;Elementary
2345;F;70;1.51;PhD
2346;M;76;1.5;PhD
2347;M;67;1.68;PhD
2348;F;54;1.57;Elementary
2349;M;55;1.9;Bachelor's
2350;M;38;1.79;Bachelor's
2351;M;39;1.64;Master's
2352;F;31;1.76;Master's
2353;M;30;1.82;Bachelor's
2354;F;47;1.65;PhD
2355;M;73;1.64;None
2356;M;41;1.76;PhD
2357;F;71;1.9;PhD
2358;M;42;1.87;PhD
2359;M;45;1.82;None
2360;M;76;1.69;Master's
2361;F;52;2;Bachelor's
2362;F;61;1.66;Master's
2363;F;56;1.92;High School
2364;M;38;1.64;Bachelor's
2365;F;61;1.46;Master's
2366;M;21;1.97;High School
2367;M;67;1.49;Master's
2368;M;25;1.84;Bachelor's
2369;M;43;1.77;Master's
2370;M;40;1.63;Elementary
2371;F;65;1.72;Elementary
2372;M;73;1.74;None
2373;M;64;1.86;PhD
2374;F;42;1.85;PhD
2375;F;48;1.88;Master's
2376;M;19;1.77;High School
2377;F;40;1.57;PhD
2378;F;19;1.56;High School
2379;F;38;1.68;PhD
2380;F;44;1.48;High School
2381;M;49;1.73;High School
2382;M;50;1.99;Bachelor's
2383;F;31;1.76;PhD
2384;F;37;1.9;None
2385;F;44;1.53;None
2386;F;53;1.79;PhD
2387;M;50;1.5;Master's
2388;F;50;1.56;High School
2389;M;23;1.71;None
2390;M;50;1.63;Elementary
2391;M;71;1.48;None
2392;M;45;1.69;None
2393;M;63;1.79;Bachelor's
2394;F;62;1.95;Elementary
2395;F;74;1.59;PhD
2396;M;67;1.57;High School
2397;F;43;1.93;Bachelor's
2398;M;51;1.89;Master's
2399;M;25;1.65;Master's
2400;F;50;2;Bachelor's
2401;M;63;1.63;PhD
2402;M;22;2.01;PhD
2403;F;25;1.49;None
2404;M;22;1.96;High School
2405;M;75;1.65;PhD
2406;F;56;1.81;Master's
2407;M;61;1.83;Elementary
2408;F;29;1.6;Bachelor's
2409;M;23;1.59;Master's
2410;F;38;1.93;Bachelor's
2411;F;39;1.68;High School
2412;M;69;1.99;None
2413;M;56;1.63;PhD
2414;F;46;1.91;None
2415;M;25;1.93;Bachelor's
2416;F;68;1.93;Master's
2417;M;20;1.7;Elementary
2418;M;19;1.77;High School
2419;M;54;1.47;High School
2420;F;65;1.6;Bachelor's
2421;M;39;1.92;Master's
2422;F;53;1.78;Master's
2423;F;59;1.57;PhD
2424;F;51;1.56;Master's
2425;F;40;1.86;PhD
2426;F;35;1.92;Elementary
2427;M;18;1.69;PhD
2428;M;47;1.59;Master's
2429;M;46;1.49;PhD
2430;F;59;1.52;Master's
2431;F;57;1.82;Master's
2432;F;52;1.82;Bachelor's
2433;M;25;1.93;Elementary
2434;F;47;1.49;Master's
2435;F;60;1.76;High School
2436;F;60;1.77;Master's
2437;M;45;1.53;High School
2438;M;47;1.86;Bachelor's
2439;M;30;1.58;None
2440;F;42;1.56;High School
2441;M;38;1.48;Bachelor's
2442;M;45;1.57;Master's
2443;F;57;1.5;Master's
2444;F;37;1.86;PhD
2445;F;69;1.78;High School
2446;M;51;1.86;PhD
2447;F;43;1.86;None
2448;F;37;1.9;None
2449;M;25;1.54;PhD
2450;M;42;1.91;PhD
2451;F;26;1.96;Master's
2452;M;28;1.89;Elementary
2453;F;36;2.01;None
2454;M;66;1.84;High School
2455;M;63;1.62;None
2456;M;46;1.95;PhD
2457;F;40;1.67;High School
2458;M;68;1.94;Master's
2459;M;55;1.63;Elementary
2460;F;36;1.57;Elementary
2461;M;24;1.88;None
2462;M;42;1.97;High School
2463;F;28;1.49;None
2464;M;53;1.83;PhD
2465;M;61;1.82;None
2466;M;46;1.63;Elementary
2467;F;33;1.77;Elementary
2468;F;76;1.93;Elementary
2469;M;61;1.91;PhD
2470;F;36;1.99;Elementary
2471;M;25;1.75;None
2472;M;22;1.99;None
2473;M;27;1.46;Bachelor's
2474;F;60;1.71;PhD
2475;F;75;1.83;PhD
2476;M;68;1.8;Bachelor's
2477;M;67;1.59;PhD
2478;M;34;1.66;None
2479;F;50;1.87;Master's
2480;M;43;1.71;Elementary
2481;M;37;1.69;PhD
2482;F;28;1.55;PhD
2483;M;57;1.55;Elementary
2484;F;28;1.92;Master's
2485;M;63;1.92;High School
2486;M;51;1.77;Bachelor's
2487;M;37;1.49;Master's
2488;F;67;1.66;Master's
2489;F;53;1.47;None
2490;F;18;1.91;High School
2491;F;48;1.95;None
2492;F;40;1.61;PhD
2493;M;63;1.92;Master's
2494;F;53;1.6;Elementary
2495;M;36;1.72;PhD
2496;F;39;1.76;Elementary
2497;F;64;1.69;Master's
2498;M;59;1.62;Bachelor's
2499;M;25;1.62;High School
2500;F;48;1.47;Master's
2501;M;22;1.8;Elementary
2502;M;53;1.85;Elementary
2503;F;70;1.56;Elementary
2504;M;23;1.57;High School
2505;M;54;1.84;High School
2506;F;50;1.49;Bachelor's
2507;F;19;1.89;PhD
2508;F;76;1.92;Master's
2509;M;72;1.98;Master's
2510;M;27;1.69;PhD
2511;M;45;1.83;PhD
2512;F;34;1.61;Master's
2513;M;18;1.87;Elementary
2514;F;31;1.69;Bachelor's
2515;F;50;1.71;Bachelor's
2516;M;58;1.74;PhD
2517;F;46;1.53;Bachelor's
2518;F;18;1.78;Bachelor's
2519;F;18;1.6;PhD
2520;M;45;1.6;Bachelor's
2521;M;42;1.98;Master's
2522;M;30;2.01;Master's
2523;M;69;1.74;Elementary
2524;M;45;1.77;Elementary
2525;M;55;1.71;High School
2526;F;37;1.75;Bachelor's
2527;M;19;1.61;None
2528;M;69;1.5;Master's
2529;M;48;1.48;Master's
2530;M;26;1.96;High School
2531;F;21;1.66;Elementary
2532;M;32;1.62;Bachelor's
2533;M;22;1.93;Bachelor's
2534;F;41;1.65;Bachelor's
2535;F;70;1.65;Bachelor's
2536;M;56;1.76;Bachelor's
2537;F;57;1.49;High School
2538;M;57;1.55;PhD
2539;F;75;1.93;High School
2540;F;68;1.97;PhD
2541;M;73;1.63;PhD
2542;F;45;1.76;PhD
2543;M;46;1.47;None
2544;F;51;1.83;PhD
2545;F;73;1.99;High School
2546;F;22;1.58;Master's
2547;M;46;1.93;None
2548;F;29;1.69;PhD
2549;M;55;1.83;Bachelor's
2550;M;39;1.83;None
2551;M;26;2;PhD
2552;M;21;1.96;PhD
2553;F;44;1.46;None
2554;F;48;1.97;Elementary
2555;F;55;1.71;Master's
2556;F;72;1.57;PhD
2557;M;18;1.95;Bachelor's
2558;M;27;1.63;None
2559;F;62;1.58;High School
2560;F;61;1.81;High School
2561;F;29;1.62;Elementary
2562;M;34;1.89;PhD
2563;M;55;1.57;Bachelor's
2564;M;44;1.81;Bachelor's
2565;F;36;1.64;Bachelor's
2566;M;67;1.65;PhD
2567;F;70;1.54;Master's
2568;M;37;1.59;Elementary
2569;F;53;1.61;Bachelor's
2570;F;31;1.81;PhD
2571;F;39;1.78;Bachelor's
2572;F;68;1.71;Elementary
2573;M;21;1.99;Master's
2574;F;26;1.55;PhD
2575;M;73;1.52;Bachelor's
2576;M;36;1.85;Elementary
2577;F;42;1.83;High School
2578;F;43;1.47;Master's
2579;F;54;1.81;Elementary
2580;M;64;1.93;Bachelor's
2581;M;43;1.67;Master's
2582;F;74;1.97;Elementary
2583;F;63;1.72;Master's
2584;M;65;1.55;Bachelor's
2585;F;46;1.69;Bachelor's
2586;M;76;1.78;PhD
2587;F;46;1.76;None
2588;M;23;1.59;None
2589;F;51;1.99;High School
2590;F;70;1.81;High School
2591;F;43;1.51;Elementary
2592;F;68;1.58;Elementary
2593;M;69;1.65;None
2594;F;62;1.53;Bachelor's
2595;F;60;1.6;Master's
2596;M;43;1.49;None
2597;M;25;1.85;High School
2598;F;69;1.88;None
2599;F;50;1.82;High School
2600;F;52;1.82;Bachelor's
2601;M;33;1.54;Master's
2602;F;35;1.78;None
2603;F;74;1.89;Elementary
2604;F;39;1.7;Elementary
2605;F;64;1.87;High School
2606;M;55;1.81;Master's
2607;M;69;1.65;High School
2608;M;32;1.62;Elementary
2609;M;23;1.62;High School
2610;M;56;1.46;PhD
2611;M;36;1.53;PhD
2612;F;69;2;Master's
2613;M;57;1.84;None
2614;M;24;2.01;Elementary
2615;F;40;1.96;Elementary
2616;M;38;2.01;None
2617;F;57;1.63;High School
2618;M;55;1.56;None
2619;M;74;1.48;PhD
2620;F;52;1.85;PhD
2621;F;47;1.51;Bachelor's
2622;M;73;1.78;PhD
2623;M;41;1.63;None
2624;M;43;1.84;PhD
2625;F;50;1.63;High School
2626;F;71;1.71;High School
2627;M;62;1.6;Elementary
2628;M;43;1.67;Bachelor's
2629;M;68;1.73;None
2630;M;30;1.87;PhD
2631;M;54;1.92;Elementary
2632;M;21;1.59;None
2633;F;23;1.63;PhD
2634;F;51;1.53;None
2635;F;74;1.72;PhD
2636;M;25;1.66;High School
2637;M;70;1.5;PhD
2638;F;22;1.93;None
2639;F;20;1.89;Elementary
2640;F;76;1.8;PhD
2641;M;36;1.96;Bachelor's
2642;M;24;1.8;None
2643;M;61;1.59;None
2644;F;49;1.48;None
2645;F;69;1.87;Master's
2646;M;68;1.85;PhD
2647;F;27;1.83;None
2648;M;30;1.91;PhD
2649;F;63;1.87;Elementary
2650;F;42;1.96;None
2651;F;67;1.62;Master's
2652;F;47;1.58;None
2653;M;68;1.69;Master's
2654;M;31;1.75;Master's
2655;M;66;1.86;PhD
2656;M;61;1.88;None
2657;M;59;1.89;PhD
2658;M;23;1.76;Bachelor's
2659;M;60;1.71;Master's
2660;F;42;1.53;Bachelor's
2661;F;19;1.8;Master's
2662;M;58;1.9;High School
2663;F;49;1.8;High School
2664;M;74;1.52;High School
2665;M;44;1.51;None
2666;M;51;1.84;Elementary
2667;M;54;1.66;PhD
2668;F;42;1.69;Bachelor's
2669;F;27;1.98;Master's
2670;M;74;2.01;Bachelor's
2671;F;70;1.5;Elementary
2672;M;40;2.01;High School
2673;M;65;1.5;Elementary
2674;F;18;1.81;None
2675;M;67;1.68;None
2676;F;40;1.94;PhD
2677;F;71;1.51;Elementary
2678;M;50;1.61;High School
2679;F;59;1.51;Master's
2680;M;24;1.46;Bachelor's
2681;F;54;2;Master's
2682;M;28;1.5;None
2683;M;20;1.56;High School
2684;M;21;1.91;None
2685;F;46;1.57;Master's
2686;M;60;1.49;Master's
2687;F;59;1.57;None
2688;M;61;1.86;Bachelor's
2689;M;72;1.83;Elementary
2690;F;66;1.54;Master's
2691;M;47;1.78;Master's
2692;M;27;1.9;PhD
2693;M;58;1.75;Elementary
2694;F;59;1.66;Elementary
2695;M;58;1.61;Bachelor's
2696;F;44;1.82;PhD
2697;F;45;1.84;None
2698;F;50;1.73;Master's
2699;M;65;1.69;Elementary
2700;F;26;1.95;PhD
2701;M;18;1.66;High School
2702;M;51;1.54;PhD
2703;M;53;2.01;Elementary
2704;F;51;1.9;None
2705;F;29;1.46;None
2706;F;18;1.69;None
2707;F;60;1.94;PhD
2708;M;55;1.87;Master's
2709;F;60;1.97;Bachelor's
2710;M;75;1.63;High School
2711;F;27;1.99;Master's
2712;F;46;1.59;High School
2713;F;41;1.97;Master's
2714;F;73;2.01;PhD
2715;F;26;1.7;Master's
2716;M;27;1.75;None
2717;M;57;1.98;Elementary
2718;F;45;1.52;Master's
2719;M;45;1.82;PhD
2720;F;65;1.88;Bachelor's
2721;F;40;1.88;Bachelor's
2722;M;40;1.63;None
2723;F;46;1.57;Bachelor's
2724;F;68;1.7;None
2725;M;61;1.99;Elementary
2726;M;37;1.88;Master's
2727;M;27;1.89;Bachelor's
2728;F;42;1.73;Bachelor's
2729;F;55;1.9;Bachelor's
2730;F;76;1.52;None
2731;M;45;1.97;High School
2732;M;76;1.96;Elementary
2733;M;60;1.97;PhD
2734;M;38;1.5;PhD
2735;M;54;2.01;Elementary
2736;M;56;1.73;Bachelor's
2737;M;62;1.88;Elementary
2738;M;43;1.65;None
2739;M;70;1.64;Elementary
2740;M;19;1.62;Elementary
2741;M;71;1.46;High School
2742;M;70;1.77;Elementary
2743;M;42;1.78;Elementary
2744;M;29;1.71;None
2745;M;28;1.79;PhD
2746;F;58;1.91;Bachelor's
2747;M;47;1.57;Bachelor's
2748;M;41;1.89;PhD
2749;M;58;1.52;Bachelor's
2750;M;61;1.96;Bachelor's
2751;M;75;1.5;None
2752;M;71;1.54;Master's
2753;M;27;1.75;Master's
2754;M;45;1.84;High School
2755;M;41;1.72;High School
2756;F;54;1.96;High School
2757;F;54;1.98;None
2758;F;20;1.58;Elementary
2759;F;44;1.71;High School
2760;M;40;2;Master's
2761;F;19;1.83;Bachelor's
2762;F;60;1.86;PhD
2763;M;42;1.46;Bachelor's
2764;M;71;1.75;None
2765;F;72;1.84;Master's
2766;M;27;1.81;High School
2767;M;25;1.59;Bachelor's
2768;F;57;1.89;Elementary
2769;M;30;1.89;None
2770;M;46;1.49;High School
2771;M;20;1.51;Master's
2772;F;63;1.86;None
2773;M;44;1.76;PhD
2774;F;56;1.79;None
2775;M;45;1.97;None
2776;M;51;1.6;Bachelor's
2777;M;35;1.9;Master's
2778;M;36;1.54;Master's
2779;F;36;1.99;Master's
2780;F;41;1.99;Master's
2781;M;70;1.46;Elementary
2782;M;35;1.7;High School
2783;F;21;1.63;Bachelor's
2784;F;51;1.98;PhD
2785;F;18;1.68;PhD
2786;M;64;1.93;Bachelor's
2787;M;48;1.58;PhD
2788;F;18;1.47;PhD
2789;F;64;1.68;Elementary
2790;M;50;1.92;Bachelor's
2791;M;33;1.96;None
2792;F;65;1.79;High School
2793;M;52;1.74;Bachelor's
2794;F;30;1.86;Bachelor's
2795;F;57;1.67;High School
2796;M;60;1.77;Elementary
2797;M;47;1.72;Bachelor's
2798;F;71;1.99;Elementary
2799;F;43;1.58;None
2800;M;29;1.69;Elementary
2801;F;61;1.88;PhD
2802;F;18;1.55;Master's
2803;M;63;1.66;Elementary
2804;M;54;1.92;Bachelor's
2805;F;50;1.89;Bachelor's
2806;F;66;2.01;None
2807;M;39;1.73;Bachelor's
2808;M;28;1.99;Master's
2809;M;61;1.82;Master's
2810;F;21;1.59;Elementary
2811;F;43;1.71;None
2812;F;36;1.97;None
2813;M;28;1.87;High School
2814;M;29;1.63;High School
2815;M;76;1.93;High School
2816;F;54;1.49;Master's
2817;F;24;1.77;High School
2818;F;55;1.94;None
2819;F;52;1.76;Elementary
2820;M;65;1.64;Master's
2821;M;59;1.89;None
2822;F;40;1.61;High School
2823;M;49;1.87;None
2824;F;23;1.73;Bachelor's
2825;M;43;1.77;Bachelor's
2826;F;23;1.47;None
2827;M;69;1.83;PhD
2828;M;45;1.79;Master's
2829;F;45;1.73;Elementary
2830;M;40;1.95;None
2831;F;19;1.74;Master's
2832;M;53;1.94;None
2833;F;36;1.88;Elementary
2834;M;62;1.78;PhD
2835;M;23;1.8;None
2836;F;23;1.52;PhD
2837;M;26;1.99;None
2838;F;45;1.79;Master's
